date,museum,daily_visitors
2018-11-12 00:00:00,M Shed,0.0
2018-11-11 01:00:00,The Georgian House Museum,76.0
2018-11-11 01:00:00,Blaise Castle House Museum,311.0
2018-11-11 01:00:00,The Red Lodge Museum,47.0
2018-11-11 01:00:00,Bristol Museum,1607.0
2018-11-11 01:00:00,M Shed,1108.0
2018-11-10 01:00:00,The Georgian House Museum,77.0
2018-11-10 01:00:00,M Shed,3464.0
2018-12-15 01:00:00,M Shed,1866.0
2018-11-10 01:00:00,Bristol Museum,2336.0
2018-11-10 01:00:00,Blaise Castle House Museum,106.0
2018-12-15 01:00:00,Bristol Museum,1448.0
2018-11-10 01:00:00,The Red Lodge Museum,103.0
2018-12-14 01:00:00,Blaise Castle House Museum,95.0
2018-11-09 01:00:00,M Shed,1229.0
2018-12-14 01:00:00,M Shed,1257.0
2018-11-09 01:00:00,Bristol Museum,1010.0
2018-12-14 01:00:00,Bristol Museum,807.0
2018-11-09 01:00:00,Blaise Castle House Museum,58.0
2018-12-13 01:00:00,Blaise Castle House Museum,154.0
2018-11-08 01:00:00,Blaise Castle House Museum,210.0
2018-12-13 01:00:00,M Shed,1087.0
2018-11-08 01:00:00,M Shed,1099.0
2018-12-13 01:00:00,Bristol Museum,693.0
2018-11-08 01:00:00,Bristol Museum,875.0
2018-12-12 01:00:00,M Shed,1085.0
2018-11-07 01:00:00,M Shed,1197.0
2018-12-12 01:00:00,Bristol Museum,851.0
2018-11-07 01:00:00,Bristol Museum,892.0
2018-12-11 01:00:00,The Red Lodge Museum,45.0
2018-11-06 01:00:00,M Shed,925.0
2018-12-11 01:00:00,The Georgian House Museum,42.0
2018-11-06 01:00:00,Bristol Museum,897.0
2018-12-11 01:00:00,M Shed,930.0
2018-11-06 01:00:00,The Red Lodge Museum,104.0
2018-11-05 00:00:00,M Shed,0.0
2018-12-11 01:00:00,Bristol Museum,915.0
2018-12-10 01:00:00,The Georgian House Museum,76.0
2018-12-10 00:00:00,Bristol Museum,0.0
2018-12-10 00:00:00,M Shed,0.0
2018-12-09 01:00:00,M Shed,2527.0
2018-12-09 01:00:00,Bristol Museum,1694.0
2018-12-09 01:00:00,Blaise Castle House Museum,230.0
2018-12-09 01:00:00,The Red Lodge Museum,36.0
2018-12-09 01:00:00,The Georgian House Museum,58.0
2018-12-08 01:00:00,The Georgian House Museum,67.0
2018-12-08 01:00:00,The Red Lodge Museum,71.0
2018-12-08 01:00:00,Blaise Castle House Museum,112.0
2018-12-08 00:00:00,Bristol Museum,1682.0
2018-12-08 00:00:00,M Shed,2504.0
2018-12-07 01:00:00,Blaise Castle House Museum,118.0
2018-12-07 01:00:00,M Shed,1169.0
2018-12-07 01:00:00,Bristol Museum,867.0
2018-12-06 01:00:00,Blaise Castle House Museum,109.0
2018-12-06 01:00:00,M Shed,1136.0
